,,,,,MileStone,Uni's Favorite Moment,Scrapbook?,Website?,Video?,
1,【DEBUT STREAM】Hi!🐙 #hololiveEnglish #holoMyth,Public,12/09/2020,,,,,,,Hi! I'm Ninomae Ina'nis! You can call me Ina! I like food! 🐙
2,【CHAT+DOODLE】Let's Draw HoloEN!!,Public,13/09/2020,,,,,,,Let's draw everyone from hololive English!
3,【CALL OF CTHULU】 New Phone Who Dis #TAKOTIME #hololiveEnglish #holoMyth,Public,14/09/2020,,,,,,,spoopy?
4,【DRAWING】 Let's Draw!!,Public,15/09/2020,,200k Subscriber,,,,,"if you gaze for long into an abyss, the abyss gazes also into you...?"
5,【CALL OF CTHULHU】 Cthulhu is Spelt with Two H,Public,17/09/2020,,,,,,,I've spelt Cthulhu wrong my entire life...oopsie
6,【CHAT】Thank you!!!,Public,18/09/2020,,,,,,,39 ways to say I love you!!
7,【COLLAB】 Surgeon Simulator 2! Don't Worry I'm...,Public,22/09/2020,,,,,,,Call the ambulance!! but not for me
8,【DRAWING】Let's Draw Amelia Pt.2 !!,Public,23/09/2020,,,,,,,HIC
9,【LET'S WATCH】Color Out of Space Watchalong!,Public,24/09/2020,,,,,,,Let's go find some national treasures H strikes againnnn
10,【CHAT】Let's tako-bout stuffs,Public,26/09/2020,,,,,,,One of these days I'll remember to schedule the stream ahead of time
11,【HOLOEN COLLAB】 3rd Full Member Collab!!! #hololiveEnglish #holoMYTH,Public,26/09/2020,,,,,,,1 + 1 + 1 + 1 + 1 = 1...?
12,【PASSPARTOUT】 The Hungry One,Public,28/09/2020,,,,,,,Hungry but pain is all I have to eat (and some jam I guess)
13,【DRAWING】!!!!!,Public,29/09/2020,,,,,,,wow!
14,【Call of Cthulhu】Creative Title #325,Public,30/09/2020,,300k Subscriber,,,,,I believe in my braincells
15,【COLLAB】 51 Clubhouse Games with Amelia!!,Public,30/09/2020,,,,,,,AMEAMEAME
16,【Dead by Daylight】Playing with Gura!!,Public,02/10/2020,,,,,,,Under the seaaaaa First time playing the game..please be gentle T_ T
17,【ACNH】Tour of Island Y****,Public,03/10/2020,,,,,,,this week's stonks not looking too good...
18,【Mario Kart】ZOOM,Public,04/10/2020,,,,,,,gas gas gas
19,【DRAWING】Time ART-tack!!!!?!,Public,05/10/2020,,,,,,,"Burger King - the Fox kind, Take out, not Dine-In"
