Timestamp,Discord Name (Example#9999) ,Display Name,Your own drawing of a Takodachi! ,Message Submission ,Illustration Submission ,Disclaimer,Message Only,Submission Check,
8/22/2022 20:46:22,TakedoJCOB(#9974),TakedoJCOB,,"Happy 2nd Anni, Ina! Thank you for all the Wah's and the comfy streams these past 2 years!",,Yes,x,x,
8/22/2022 20:57:03,RetailAdmin#9785,RetailAdmin,,"It's been 2 yrs now. I'd like to rewind all the memories that you gave us, all the fun moments together.",,Yes,x,x,
8/22/2022 21:06:07,Kindanooby#5549,Kindanooby,,"Wah! Happy Anniversary Ina, I wasn’t around for the first, but I’m here (at least in spirit, because of school) for the second one! Thank you for being the person you are, and hopefully I can catch another one of your streams soon",,Yes,x,x,
8/22/2022 21:31:34,Pointveteranz#2497,Point,Tako cookie - bry bry,"Hey Ina, congratulations on being around for 2 years! 
I hope you will find new ways to entertain us and have fun doing it. I know things have been hectic for you with the ISP giving you a hard time and your move to your studio, but I am sure you are finding a healthy way to cope with it. Also, I hope your art block will leave soon! You have been a big inspiration for me to get better at drawing and I hope to be able to draw along with you soon.
Thanks a bunch! ヾ(•ω•`)o 
WAH",Ina rockin it - bry bry,Yes,,x,
8/22/2022 21:37:59,Larvey#0001,Larvey,Guwadachi - Luis Vervaet,"Hi Ina! Random Takodachi from the cookie department here, just wanted to say happy anniversary! Hope you can continue to make some great content and... cookies. Also please refrain from sending the research department over here, they keep trying to make really weird cookies like whatever the ""Scarlet Rot Cookie"" is, anyways, thanks for the amazing streams! WAH!",,Yes,x,x,
8/22/2022 21:40:56,Level9Spell#4028,Level9Spell,,Congrats on 2 years Ina!  You've created such a great stream environment and community.  It's always comfy in your streams and I've enjoyed every moment over the last 2 years. Thanks Ina! ....wah!,,Yes,x,x,
8/22/2022 22:16:15,Ricchan#8158,Nebula Starlight,nebula_starlight_takodachi - Nebula Starlight,"Ina, I can't tell you how much I love and appreciate your streams. I watch you live whenever I can! I was late to discovering VTubers in general but, once I got hooked, you quickly became my oshi. You've actually inspired me to get into streaming and VTubing myself some day! I can't wait to see what the future holds for you and for your channel, and I'm very excited to have a front row seat. Happy Inaversary, Ninomae Ina'nis!",,Yes,x,x,
8/22/2022 22:24:52,ariacchii#7628,ariacchii,Untitled12_20220822220916 - Shaina May,Hewwo Ina~! Happy 2nd Debut Anniversary! I always look forward to your streams especially the art ones. You're extremely talented and I love being around the chat. Keep being you! Thank you for making us smile!!❤️,,Yes,x,x,
8/22/2022 23:50:37,pokey_junior#4814,pokey_junior,,Congratulations on the 2nd Year of Hololive! I hope you had a smooth transition to the new office and that you will find your passion for drawing again :). With this 2nd Anniversary we are that much closer to World DomINAtion. :0,,Yes,x,x,
8/23/2022 2:45:24,Glazed#6337,GlazedDonut,,"Yay! Happy 2nd Wah-nniversary Ina! What I wish and hope for you, as a spectator in the midst of the crowd, is for you to remain as fantastic as you can be and remain strong, both as yourself and as an artist! Looking forward to more of your content and shenanigans you'll be showing us! 

Yours Truly,
GlazedDonut",,Yes,x,x,
