user,icon,message,image,pun
Varas,,"Hey Ina, all I wanted to say is Thank you for being you.  - Varas",,"Are you having any nacho cheese for your birthday?  It's ok if you don't like it though, because it's Nacho cheese, it's *my* cheese! (i'm sorry)"
Cam,,"Good Morning, Afternoon, Evening Ina. You got me through a lot of rough times in the past and your streams and content never fail to bring a smile to my face. Thank you for being that calming force throughout the last 4 years, and I can't wait to see what the future holds. I hope you have an amazing birthday and keep being Wah-nderful.",,Why are Ninja's so affectionate to their friends at birthdays? Because they always Doton you.
Gamertron323,,"Happy Birthday, Ina! I hope you have a wonderful day with lots of hugs and cookies!",,What do you call an octopus that can make mexican food? A Taco Tako.
Pab,,"Hiii Ina! May you have a happy birthday, and a thank you. I remember watching your art streams years ago, and although i don't have that much time to watch streams nowadays, i am glad to see that your happiness and passion for art hasn't fade. Here to more years, Priestress 🛐",noTitle-Pab.png,
Devildawn,,"Wah ! Happy birthday Ina !!  I may not watch a lot of streams because of my lack of free time, but I enjoy your drawings and the clips i see sometimes. May your day be amazing !",Itasha-Devildawn.jpg,Sorry mococo ate my homework
Bolt,,"Count your life by cookies, not cucumbers. Count your age by friends, not years. Happy birthday Ina!",,Let's tako 'bout your birthday
Sunny Faller,,"Happy Birthday Ina!  You inspire many people to be creative including me, thank you for all of your hard work! <3",InaBirthday-SunnyFaller.png,I hope you TAKOver this world
Gorgelon,,Happy birthday Ina! Best of wishes.,,I hope you have a Wahnderful birthday.
glumble,,Happy birthday Ina!! Happy for another year of sharing a birthday with my oshi :) Hope this year treats you well!!! Keep up the good work!!!,,
Andi,,Happy birthday and hope you have a wonderful birthday and have a wonderful time with family and friends best wishes to youuu :3,,Never tell a tako your secrets. They always spill the ink!
Willy,,"Hello Ina, happy birthday! With this message I hope you know how special you are amongst all vtuber talents. Not only are you cute and charming beyond belief, and a real sweetheart to all of us Takos, but you're also a real inspiration for budding artists like me. You're a light, a muse and an example. Never change, and never let us go. We love you Ina!",,
Cardboy777,,"Happy Birthday, Priestess! I never draw but I spent 5 minutes creating my son here. I hope he made someone chuckle.",RareTako2-Cardboy777.png,
SheoTako,,Hoping that MS paint will work. I made a Tako with an M&M cookie,Takocookie-SheoTako.jpg,Have a grate birthday. Hope that's not too cheesy. =3
MachFighterG,,"Happy Birthday, Ina!!! ",,
Artemis,,"Happy birthday, enjoy your next year and I hope it comes with many cookies for you ",,Hope you have a wahnderful year
HeavenToast,,INAAA BEEN SUPPORTING SINCE VIOLET TRAILER SO MANY YEARS AGO KEEP GOING STRONG AND HAVE A HAPPI BIRTHDAY!!!,,Why did the banana go to the doctor? It wasn't peeling well
Deathcon,,"Happy Birthday to our lovely priestess Ina! You are truly incredible, your streams always help melt my stress away even with working two jobs all that fatigue vanishes when I hear that WAH! Your art is so inspiring and never ceases to amaze me. You are also just a fun charming person and I couldn't ask for a better Oshi. Lots of love Happy Birthday Ina!!!!!!",,Let's Tako-bout your birthday today
GachaLuck,,"Hi Ina this my first time writing for a tentacult project! I don’t know how to express myself but I just wanna say thank you for everything! I was in my downhill like 2 years ago until I met you, you made my day, week and year! Thank you for becoming my oshi, finally Happy Birthday my cute priestess Ina! Hope you have a big big birthday cake! I wish you a good gacha luck in the coming year! Take care and buh byeeeee.",,
noro,,We love you and the rest of myth and everyone and we wish you the best of luck and happiness!,,"Baking cookies? No Ina baqueen cookies (it makes no sense, ill see myself out, happy bday Ina tho^^)"
aurilyn,,happy birthday ina!! glad learned about through anirevo 2023!!,,i got none sad tako noise
,,"Ina, over the past 3 years you have brought me nothing but smiles and comfort. Whenever i was having a bad day, as soon as i heard WAH all the bad feelings went away. Im so proud to be a takodachi and I hope you have an amazing birthday",,
Römm the Takomancer,,"The story of this Takocaster is long, so, as the takomancer who created it for you, I just want to thank you for all these years of joy and comfort you brought us, takos, and wish you a magnificently Happy Birthday!",TakoMusic-RomTheTakomancer.jpg,
Grizzexploder,,Happy birthday big dog,InaHomeRun-Grizzexploder.jpg,
,,Happy birthday day Ina!!,hbdIna-watson3167.png,
Andrewboi,,Happy Birthday Ina! You are so cool and I hope you have a really great birthday! :D,,
Homurakuma,Takoverse-Homurakuma.png,"Happy birthday Ina! Here's to another year in the wonderland of ina! I like your wavy flow-ing hair.  Deep down, I know you would spark again my interest in art. My one and last oshi!",,"I dunno...Well, I was at a gaming convention and my friend dragged me to play some FF14, but the convention center was so cold I was shivaing..."
Chumbeque,,"On this special day I wish you all the best. You are a wahnderful person and you deserve only good things! Thank you for all these years, thank you for always being yourself and thank you for filling our days with joy! I love you Ina! WAH",,Have a Capy birthday Ina!
