user,icon,message,image
Test,Takodachi,"Test submission, please ignore!",https://drive.google.com/open?id=1W5r7kRNXlqRJ76iotg-oWB_Sg0u-T_SG
Kariz,InaDachi, can  you be my wife,
Russel,RoseDachi,You helped me more than I'd like to admit.,
Jen,RoboDachi,"Ina, you're incredibly comfy, extraordinarily funny, and extremely hard-working. I love your streams, your taste in games, and your dedication to making everything you do somewhere between cozy and hilarious.

Keep up the good work, and thank you!",
marc,Takodachi,Happy 1st anniversary Ina! I just want to thank you for keeping me sane during my freshman year of high school with your comfy streams! ,
Mast,MoriDachi,Thank you for everything you do! You always brighten my day and calm me down. I can't imagine more comfy streams than yours. Keep up the good work!,
ria,Takodachi,thank you ina for the streams !! i hope the best for you and your art <3,https://drive.google.com/open?id=1-XzOp8n4nabbRiET2d02Re19r7Gg6_M9
Cbear,YuulDachi,Helloooo Ina! Happy 1 year anniversary! It's been a wild ride and you've grown so much... it's been a huge honor being able to see you become more confident and show your adorable personality more and more. Can't wait to see what adventures happen from now and will support you always. Congrats again~,
Lemon,YuulDachi,"Happy one year ina! Thanks for all the smiles and good times, aswell as all the fun me and my friends have had seeing your content over the past year! Love from the UK!",
Clinux,Takodachi,"Thank you Ina for all the hard work you put into creating the comfiest stream on the internet!
Looking forward to another year of high quality comfy!",
Albertoe,RoseDachi,Happy Inaversary! Your streams have helped me get through the days when I'm feeling down. Looking forward to see your growth as a vtuber!,
UncleJimmyBob,InaDachi,I have had so much fun watching Ina do her best ad also have fun. I love her commitment and genuine love for the things she enjoys. Here's to another amazing year!!!,https://drive.google.com/open?id=1HeUBSbIKNpq23fmn494Q5lkQWQKl7dwO
Shallistera,YuulDachi,Happy anniversary!!!!! ,
Petey,Takodachi,Waht a wonderful day this is! Happy 1st anniversary Ina! We takodachis will support you with whatever you do in the future! �,
casi,GuraDachi,"good streamer, very good streamer, inacredibly good streamer. it's fun watching ina's streams, and it's fun interacting with the community that's formed around her and other hololive members. it's just a whole bunch of fun, and i'm glad to be a part of it!",
Tri,Takodachi,"Hey Ina! Happy anniversary, its wild to think it has been almost a year since I started watching you. You were one of the first vtubers I watched, thank you for all the fun and good memories you brought me! I am very glad to have you, and here's to another year of fun.",
Yang,Takodachi,WAH!!!,
Cyber Toast,Takodachi,Hi Ina! I can't believe it's already been a year since your debut. Thank you for being the one that dragged into the rabbit hole and making me a lot happier with your chill and comfy nature as well as your puns. �,
Lazulis,WonderDachi,"Hello Ina! I've been watching you since your first month of activity and have enjoyed every second of it. Your witty humor, artistic skills, and countless other attributes have given me and over a million other Takos a countless amount of smiles and laughs. Keep being you, that's all we can ask for! =w=",
AmeRainu,Takodachi,Happy 1 year anniversary Ina! You've inspired me to pick up a pen and start drawing again. Hope you have a wonderful celebration!,https://drive.google.com/open?id=1TMEfqG_TUbEJGtvW_iGmqj6du0Zhzo0P
Angel,Takodachi,"hello ina!!! i've been watching you basically since i discovered hololive and i wanted to say thank you!! your soft voice and general soft vibe pulled me in pretty quickly into the rabbithole, far enough that i have made it my goal to join hololiveEN!! one day i will be calling you senpai and that is a threat �	catch you on the bloopside!!",
ceej[a��,RoseDachi,"Wah! Happy First Anniversary Ina! it's been a year and I really had a fun ride with you and the rest of the EN gang~ glad to stick around and see you slowly but surely do your world domINAtion! I wish you nothing but the best~ You always have my support, Priestess! much love (^o^)?�",
Person212,Takodachi,"Ina Ina Ina! Thank you for everything, you've been my favorite streamer for months now, and the only person I make the effort to catch when you're live. Your streams are always so comfy and the clips are adorable. Thank you again - A Proud Member of the Tentacult for 4 Months (by the time this gets to you)",
Lentilp,Takodachi,"Happy Anniversary Ina! You and all of Hololive have been an inspiration to me during these tough times. Watching you continue to succeed inspires me to keep doing my best as I begin a new chapter in my life, so from the bottom of my heart, Thank You. Stay punstoppable, priestess! Wah!",
Rimuru,YuulDachi,"Hello Ina, I'm a french viewer, I really like your streams you are actually the Vtuber that I prefer. Your streams are a way for me to chill out and have some fun, so thank you for everything, see ya at your next stream!",https://drive.google.com/open?id=152iiP8AXPcGDnfdP3KIljGmRcdm9rU9E
Takokan,MoriDachi,"Hello Ina K,  I cant believe that it already a year from you debut stream. I watched the archive, ive just knew a bout hololive 3 months ago so i dont have much memories with you but watching your stream made me happy and have more efforts. Let's do best this year, love you from Vietnam",
Cardboy777,RoseDachi,"Happy 1 year. Thank you for all the hard work you have put in, both onstream and behind the scenes. Looking forward to 2yrs & beyond!",
RGB,Takodachi,Glad I met you Ina! Here's to another year of domInation! ( = w=)7,
