user,moment,message,wah,sub,wah_sub
Yue, https://youtu.be/6bF-JTdkNDc?si=oPgU--mcuY42A6fQ,I enjoyed watching Ina laugh a lot after seeing bae's drawing. Ina has become an inspiration for me and for many others to get into drawing which is one of the many reasons she's my oshi.,"https://youtu.be/6JmmokLbZRU?si=tBWMf3tWyU1cdjCt

",Source: https://www.youtube.com/watch?v=G9mIkaM1huI&t=0s,Source: https://www.youtube.com/watch?v=oS_Ub2jch6k&t=0s
SenpaiJake,TOMORROW!,It is Ina's most iconic phrase outside of WAH,https://www.youtube.com/watch?v=OAjt3D-pnxI,,05:21
Sinanju,"https://www.youtube.com/watch?v=Kro9B9_UDX4
",It's such a funny introvert moment and an Ina moment that's relatable. I can totally see myself doing this as well,"https://www.youtube.com/watch?v=uEvwuvod2F4
",Original stream: https://www.youtube.com/live/mzUjckC1Ku4 ,"
(Note: every Wah is precious)"
JCH ,Ina exists. That's my favorite moment.,Ina is cute and sweet and adorable ,Too hard to choose. All WAH are great!,,
Yeetrbium,"https://www.youtube.com/live/IXDwfJXESPg
","We rarely hear Ina scream in a pitch that high :) Ina, congratulations on your 4th anniversary! You've been a great inspiration for me to keep going despite the hardships, so I can't thank you enough!","https://www.youtube.com/watch?v=x9bq1KfBMOc
","
Timestamp: 1:20:53","
Timestamp: 3:32"
INAcolyte,Ina's 3D debut singing YAOSOBI ,It was emotional seeing all the EN Talents singing with Ina at the end and her world became colorful.,Cannot think of one they are all my favorites!,,
Endactam,https://youtu.be/31TFFX_pkNA?t=9141,When the fire nation attacked... Kiara got confused 2 layers deep and Ina almost died laughing.,https://youtu.be/hs_vVVuAKvM?t=5359,,
Jacob (TheTNTRaider),https://www.youtube.com/live/RZ8pDVTjcxo?si=fWhdklxqy9qRuSzd&t=592,"I picked that moment, because it perfectly embodies the vibe of Ina. Someone so adorable and not afraid to be a little silly!", https://www.youtube.com/live/-2H-WjJBWsA?si=tB1b01YMFSmfKbjc&t=5344,,"My favorite WAH! has to be the Call and Response WAH! from Connect the World, with us finally able to actually say WAH! to Ina."
Fez,https://www.youtube.com/watch?v=yT2ety9RfIo&t=330s,"Every time when I'm down I always bring this clip up and I instantly cry my eyes out, I have recently a family death happen and this clip always helps me be strong just like Ina is giving her best everyday!",https://www.youtube.com/live/mU4YkHyXuDI?si=tX3dhR9-zVjCB2fO&t=219,,Ina's Return from Hiatus WAH!
Taiga,https://youtu.be/35cmGkZYWAE?si=U_dkavTsVZXFYyFM (Animation Clip),"The most memorable moment of Ina, Ninomae Ina'Rizz",https://www.youtube.com/live/_3AwjmKrmY0?si=B6QzVads9YkUVTVn ,"
https://www.youtube.com/live/4Vs1wKjNuUw?si=cyAFfP3c3O7-Hzg8 (1:52:38) the Kabedon clip",(8:10)
