Timestamp,Discord Name,Your Display Name,Anniversary Message Submission,Art Submission,Your Takodachi's Name,Your Takodachi's Description,Your own Takodachi!,Submission and Surprise,Select your 1st Favorite Stream,Message for your 1st Favorite Stream,Select your 2nd Favorite Stream,Message for your 2nd Favorite Stream,Select your 3rd Favorite Stream,Message for your 3rd Favorite Stream
8/12/2025 17:40:35,Pull,Pull,"Thank you for motivating me to keep on trying, Happy Birthday.",Ina Sketch V1.8 - Leo Kim.png,,,,"Website Only Submission, Artwork submission for the 1st surprise",【DRAWING】 Goodbye 2020! Last Doodle Stream of the Year! --> 2020-12-31T08:02:25Z,"This stream was the thing I always kept bookmarked both as a practice study and to stay motivated.  I would not be on the journey I am right now if not for the videos and streams that occupied my time many years ago. I hope I can say thank you again next year, as well as the following years to come. Happy Birthday!",,,,
8/12/2025 17:43:29,Rozenity,Rozenity,"W A H ! Happy birthday, Inyaaaaaaa! Here's to more bday celebration! You have truly made an incredible impact in every takodachi's life including mine who has been fully convinced to live the comfy life! Here's to more celebration and future world domINAtion (slowly)! ",,,,,"Website Only Submission, Stream messages submissions for the 3rd surprise",【INA INA KITCHEN】 KATSUUUU SANNNDOOO --> 2024-04-04T22:23:11Z,"Chef Ina + Comfy vibes = Comfy cooking. I really enjoyed every cooking stream that you did, but this one was most memorable for me because I was also making Katsu while watching the stream and manage to finish around the same time lol. I hope for more cooking stream in the future and if you need to cook a tako, I will be volunteering as tribute",【DEBUT STREAM】Hi!🐙 #hololiveEnglish #holoMyth --> 2020-09-12T20:10:46Z,"Where it all started. The creation of the Tentacult. The overwhelming power of Ina's giggles. Of Ina's comfy energy. From the comfy and iconic intro BGM and the bouncing takodachi, to Ina showcasing her anime list and her hobbies, I knew then and there that you were gonna be my kami oshi! I was one of the few takodachis that, if given the chance, would've joined the membership on day 1",【KARAOKE】 Tako Sings --> 2021-02-27T00:10:03Z,"Ina's singing cures all forms of cookie deficiency. Ina's singing can cure all form comfy deficiency. Ina's singing is immaculate and cute. 
Ina's singing (and her giggles) can make every takodachi swoon and explode.
Ina's singing is perfect.
Ina is perfect.
W A H.
( ∩´͈ ᐜ `͈∩) ( ∩´͈ ᐜ `͈∩) ( ∩´͈ ᐜ `͈∩)"
8/12/2025 18:07:22,Arheva,Notar,WAAAAAH! We Absolutely Awesomely Amazingly Astronomically Adore Her! Thank you for 5 years Ina!!!,,,"Class: couch cookie. Like a couch potato except cookie.

Attribute: horizontal

Description: 
“Often found lying on the floor surrounded by cookies and some method to watch streams of Ninomae Ina’nis of Hololive English. Although called a ‘couch’ cookie, they are more often found lying on a floor. This misnomer comes from the first few sightings of them on couches, but we now know the couch cookie will sleep on many surfaces, beds, floors, sometimes tables. 

This species of takodachi has been spotted consuming massive amounts of cookies while not moving from its place of rest. Despite this, the couch cookie does not gain mass, this is likely due to the connection with the void. 

It is a rare occurrence to witness the couch cookie move from its position, and only a few documented cases have been recorded. This is usually done to either change its sleeping point to a cooler area or to restock its cookie pile, at which point, the couch cookie will lie down once more and settle to watch streams of Ninomae Ina’nis from Hololive English.

However, in secret, even fewer sightings are seen of the couch cookie spreading awareness of their priestess through comments and posts on other sites, furthering the silent movement of WAHrld domINAtion as all takodachis do”",,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【3D LIVE】『Neverland Paradox』 Ninomae Ina'nis Birthday Live 2023 #INAinaNeverland --> 2023-12-10T01:57:25Z,We will watch forever and ever and ever and ever and ever (ad infinitum),【DEBUT STREAM】Hi!🐙 #hololiveEnglish #holoMyth --> 2020-09-12T20:10:46Z,Ina ina ina! Ina ina!,【POKEMON VIOLET】 SURELY FIRST GYM TODAY 【#3】 --> 2023-01-16T01:55:57Z,Your sheer joy at chocobig 🥰
8/12/2025 18:24:37,husk3rgam3r,Husker,Thank you Ina for always having such silly and comfy streams! It's been a pleasure to have been with you since debut! Keep being such a wonderful priestess! Here's to many more happy days ahead!,,,"Class / Category: Quiet Tide Tako
Attributes: Patient / Steadfast

Description:
""Content to drift in the calmer currents, this Tako watches from the shadows of the reef, its presence felt more than seen. Though rarely at the forefront, it remains ever loyal to the Priestess, offering silent support through every voyage. When the tides of celebration come, it surfaces with a gentle wave, reminding all that the deep still holds many faithful hearts.""",,"Website Only Submission, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",,,,,,
8/12/2025 18:48:02,baga_bana,早安阿蕉(Ohabana),"Happy 5th Anniversary Ina-sama💜
Can’t believe it’s been 5 years since Myth debuted!
I’ve been watching since day one and I’m so happy to have met you!
Your streams are always the comfiest~
I’ll support you forever, even when you’re a cute lil grandma~!🐙💕
-早安阿蕉(Ohabana) 2025/8",https://drive.google.com/open?id=1TD6nJkmJyyeTmg--E7PmmSc-oKIl101k,,,,"Website Only Submission, Artwork submission for the 1st surprise, Stream messages submissions for the 3rd surprise",【Hollow Knight】 Swoosh Swoosh 【#1】 --> 2021-02-05T23:48:07Z,"I've always loved Hollow Knight, so I'm really happy that Ina-sama started playing this game! Your skills are amazing, and hearing you learn bug language is just too cute.
I also really like the rest spots in City of Tears. Listening to the dripping water and sitting with Quirrel feels so warm and cozy.",,,,
8/12/2025 20:00:51,Scalim,Scalim,"5 years have flown by! I can’t fathom 2020 or where I’d be now. I’ve followed you since the start, you’ve always been Ina the hero to me, keeping me company and inspiring me to draw again. Your streams’ sweet, comfy vibe means so much. I’ve supported you, Myth, and HoloEN fully. I haven’t joined a live concert yet, but hope to next year to cheer loud. Happy 5th Anniversary Ina, Onwards to many more! 💜🐙",https://drive.google.com/open?id=1MRwvmRvn9nNJshpQ5LM_s-_4X9IAQ5ws,Scalim,"Class: Mage
Attributes: Optimistic / Squishy
This Optimistic Mage serves with a boundless sense of cheer, casting spells that shimmer with positivity and light. Despite their incredibly Squishy form, which isn't built for direct combat, their resilience is unmatched; they always bounce back with a smile. Their magic is often a shield of support and comfort, proving that true power comes not from brute force, but from an unwavering, hopeful heart.",https://drive.google.com/open?id=1Sxk_WPNhO_YxPgArNESUcAAp3BdeBG7X,"Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【Call of Cthulhu】Creative Title #325 --> 2020-09-30T21:19:33Z,Arkham Editions? Never heard of them.,【LET'S WATCH】Color Out of Space Watchalong! --> 2020-09-25T01:24:08Z,"First Watchalong i ever did! always fun to watch movies or anime with you, specially when its something i wouldnt watch normally by myself. 💜🐙",【DRAWING】Gesture Drawing + Doodle #1 --> 2020-10-11T22:49:02Z,"I appreciate all of your gesture drawings streams, they got me to comeback to drawing and making the time to concentrate and learn. and as always a pleasure to share time with you Ina 💜🐙"
8/12/2025 22:04:59,silverasarai,Asarai,"Can't believe it's already been 5 years :o
A lot has happened over these WAHnderful 5 years of a rollercoaster of emotions but most importantly, we should remember to have fun and enjoy our lives!
Good luck for your upcoming projects and AFO, stay miraculously preserved (healthy) and Yuul B. Alwright!
Happy 5th Anniversary Ina! \O/",,,"Class: Lurker
Attributes: Comfy / Potato

""One of many, this Tako gathers cute and comfortable stuff Like A Dragon and it's pile of gold. Although it remains unseen most of the time, it shows support in its' own comfy ways by silently watching and cheering occasionally whilst drowning in the comfortable depths of their pillows.""",,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【3D LIVE】『Pleides』Ninomae Ina'nis 2024 Live #Pleides3D --> 2024-12-28T04:03:16Z,The camera angles and performance of the live expecially during the song『U』really energized me as you stomped your feet. My heart beat in sync with the rhythm as my blood cells marched on similarly to Cells At Work lmao. It was really motivating and it still lives rent free in my head. AND loved the teaser for 『TEMARI』at the end so much i found myself becoming an Inflatable Tube Man.,【Outer Wilds】 Didn't Want to Eat Marshmallows Anyways 【#1】 --> 2024-10-31T21:00:06Z,"The Outer Wilds VODs were a real treat to look forward to, at first i had thought you were bouncing around the screen like a DVD logo in the thumbnails but you were getting flung further into space.",【TTRPG & Gartic Phone】 HUNTERS PARTY HARD with GARTIC PHONE --> 2021-08-24T23:26:03Z,The TTRPG period were real fun to watch and great to look forward to but the ENCurse being triggered and transitioning to a gartic phone game simply emphasizes it even more as you all had fun and that was more than enough for laughter to be heard.
8/12/2025 23:23:43,kurasukanon,Kurasu Kanon,"Happy 5th Inaversary! You continue to be a guiding light to me during my darkest times, and I'm proud to call myself a Takodachi. Keep on keeping on! You'll inspire even more people by being yourself as the days go by, and we'd be with you every step of the way! Thank you so much for being a figure to look up to to all of us!",https://drive.google.com/open?id=1q8oS5qJbHLpq38JzlXau-qgPnwMNCT4Q,Kanon,"Category: Just a lil guy
Attributes: Round / Lazy

""This Tako prefers to lay on the floor of an air-conditioned room. Small though they may be, these round entities are some of the most numerous, and just like any other Tako, the Priestess's presence fills them with happiness.""",https://drive.google.com/open?id=127zSDHEhLhBzIDF3W7TSfTO2Hhgp2kas,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【DEBUT STREAM】Hi!🐙 #hololiveEnglish #holoMyth --> 2020-09-12T20:10:46Z,Where it all started. I instantly became a Takodachi when I watched the debut stream!,【CHAT+DOODLE】Let's Draw HoloEN!! --> 2020-09-13T14:14:05Z,Her first drawing stream really inspired me to keep going when I was about to give up on art. I owe my current experience to her!,【COLLAB】 DID SOMEBODY SAY CHAOS w/ @holoen_ceciliaimmergreen 【STRANGER OF PARADISE】 ※SPOILER WARNING --> 2025-03-30T01:00:06Z,It's been a delight seeing Ina and CC play this game. It makes me want to try it out for myself!
8/13/2025 3:57:30,kaedenakamuraart,"Kaede, Acolyte of Wahtcher","Happy Inaversary, Priestess Ina'nis! I hope you have a WAHnderful birthday as well!",https://drive.google.com/open?id=1yDotKB2GTuf-uKiAuoy1lA8bHwIKvvbp,Kaede Nakamura,"Category: Priestess
Attributes: Devout/Warm

""A Priestess from a parallel world, this humanoids Tako resides in a shrine dedicated to Wahtcher. There were more of her kind in her world, but they have fled to the void between worlds during a war. She has striking similarities to the priestess of AO, Ninomae Ina'nis. Kaede's main ability is spiritual healing, but has been known to have the ability to hop between dimensions, exorcise demons, and make use of her third eye. She prefers to stay hidden from the world, as her kind has had conflict with humans in the past.",https://drive.google.com/open?id=1hWofCms-hH89rUQw7x_EWL3Mmk1icf7M,"Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame",【3D LIVE】『Pleides』Ninomae Ina'nis 2024 Live #Pleides3D --> 2024-12-28T04:03:16Z,"It was the first 3D live I've attended, and it was absolutely beautiful!",【NEW OUTFIT REVEAL】 Hair Salon Doko?! #yuruINA --> 2023-04-22T23:14:58Z,She looked so comfy!~ truly a gamer girl outfit,【DRAWING】ENMA Design + Random Drawing Stream --> 2020-11-07T08:46:01Z,"I was so happy to see ENMA get her own design, Ina really knocked it out of the park!"
8/14/2025 1:05:02,Uber Sheep,Hiu,"WAH!!! Congratulation on 5 year anniversary Ina!! I am kind of a new Takodachi join around 2023. You really help me through my darkest year during my university day. I really like your streaming style and I will continue to support you in the future!
P.S.: Hope you can do some ASMR stream although I might died due to your cuteness :) (rolling down stair gif)
- CH 2025 ",,Normiedachi,"Membership: WAHdomination Malaysia Branch Member
Attributes: Hidden/ Squishy

""A secret member of WAHdomination Malaysia Branch, this tako stay hidden and waiting for the command of Priestess INA. Its responsible is to transform people into Takodachi if there is a chance. This tako is extremely solidary  and will not appear in normal occasion.""
",,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【Outer Wilds】 Didn't Want to Eat Marshmallows Anyways 【#1】 --> 2024-10-31T21:00:06Z,This video show that our Priestess really care about us by trying out other video style than streaming. Also I have a lot of fun watching the series a well. Hope that there will be other video such as these sometimes.,【#holoGTA】 We Are Helping!!!! 【#1】 --> 2024-09-17T16:13:55Z,HoloGTA is one of the stream that I watch during my darkest day in University as I am doing my final year design project that time and it was really close to the submission date and I am all stress up. Ina stream really help me relief my stress and it is the most comfy GTA stream that I ever watch w. Anyway am really glad that I choose to tune into our Priestess stream although I am really busy.,【#ホロナツ歌枠リレー | Summer Relay Karaoke】Good Morning It's Summer!!!! --> 2025-07-26T00:44:59Z,New VOICE CRACK just drop!!!!! The Haru voice crack is just too cute follow by a little giggle in the next line. Also there are two of my favorite song in this stream which is Haru and Bansanka. Luckily it is an archived stream.
